STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,indic_sb,Economical indicator for structural business statistics,sizeclas,Size classes in number of employees,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,AT,Austria,2011,,9.99,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,AT,Austria,2012,,9.62,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,AT,Austria,2013,,9.16,,b,break in time series,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,AT,Austria,2014,,8.45,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,AT,Austria,2015,,8.37,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,AT,Austria,2016,,8.87,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,AT,Austria,2017,,7.42,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,AT,Austria,2018,,6.54,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,AT,Austria,2019,,8.08,,p,provisional,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,AT,Austria,2020,,6.17,,p,provisional,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,BA,Bosnia and Herzegovina,2017,,16.12,,p,provisional,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,BA,Bosnia and Herzegovina,2018,,17.71,,p,provisional,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,BA,Bosnia and Herzegovina,2019,,6.45,,p,provisional,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,BE,Belgium,2011,,3.80,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,BE,Belgium,2012,,4.06,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,BE,Belgium,2013,,5.50,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,BE,Belgium,2014,,5.27,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,BE,Belgium,2015,,3.77,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,BE,Belgium,2016,,4.34,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,BE,Belgium,2017,,3.90,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,BE,Belgium,2018,,4.01,,b,break in time series,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,BE,Belgium,2019,,3.68,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,BE,Belgium,2020,,4.06,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,BG,Bulgaria,2011,,20.32,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,BG,Bulgaria,2012,,16.80,,,,,
